formattedTime-value
Apr 19, 2016 at 7:00 AM-57.083333333333336
Apr 20, 2016 at 7:00 AM-58.25
Apr 21, 2016 at 7:00 AM-45.125
Apr 22, 2016 at 7:00 AM-45.166666666666664
Apr 23, 2016 at 7:00 AM-37.458333333333336
Apr 24, 2016 at 7:00 AM-46.458333333333336
Apr 25, 2016 at 7:00 AM-44.708333333333336
Apr 26, 2016 at 7:00 AM-42.25
Apr 27, 2016 at 7:00 AM-43.625
Apr 28, 2016 at 7:00 AM-23.333333333333332
Apr 29, 2016 at 7:00 AM-20.708333333333332
Apr 30, 2016 at 7:00 AM-19.791666666666668
May 1, 2016 at 7:00 AM-17.666666666666668
May 2, 2016 at 7:00 AM-57.5
May 3, 2016 at 7:00 AM-40.416666666666664
May 4, 2016 at 7:00 AM-25.083333333333332
May 5, 2016 at 7:00 AM-72.58333333333333
May 6, 2016 at 7:00 AM-62.958333333333336
May 7, 2016 at 7:00 AM-61.625
May 8, 2016 at 7:00 AM-57.291666666666664
May 9, 2016 at 7:00 AM-62.916666666666664
May 10, 2016 at 7:00 AM-63.416666666666664
May 11, 2016 at 7:00 AM-61.541666666666664
May 12, 2016 at 7:00 AM-62.833333333333336
May 13, 2016 at 7:00 AM-64.125
May 14, 2016 at 7:00 AM-57.833333333333336
May 15, 2016 at 7:00 AM-51.083333333333336
May 16, 2016 at 7:00 AM-52.25
May 17, 2016 at 7:00 AM-63.25
May 18, 2016 at 7:00 AM-60.375
May 19, 2016 at 7:00 AM-53.291666666666664
May 20, 2016 at 7:00 AM-55.75
May 21, 2016 at 7:00 AM-48.25
May 22, 2016 at 7:00 AM-47.958333333333336
May 23, 2016 at 7:00 AM-49.708333333333336
May 24, 2016 at 7:00 AM-47.75
May 25, 2016 at 7:00 AM-54.041666666666664
May 26, 2016 at 7:00 AM-46.375
May 27, 2016 at 7:00 AM-55.791666666666664
May 28, 2016 at 7:00 AM-62.833333333333336
May 29, 2016 at 7:00 AM-66.75
May 30, 2016 at 7:00 AM-66.91666666666667
May 31, 2016 at 7:00 AM-68.79166666666667
Jun 1, 2016 at 7:00 AM-64.875
Jun 2, 2016 at 7:00 AM-59.125
Jun 3, 2016 at 7:00 AM-64.125
Jun 4, 2016 at 7:00 AM-67.83333333333333
Jun 5, 2016 at 7:00 AM-64.45833333333333
Jun 6, 2016 at 7:00 AM-69.125
Jun 7, 2016 at 7:00 AM-67.79166666666667
Jun 8, 2016 at 7:00 AM-62.916666666666664
Jun 9, 2016 at 7:00 AM-40.791666666666664
Jun 10, 2016 at 7:00 AM-37.625
Jun 11, 2016 at 7:00 AM-38.75
Jun 12, 2016 at 7:00 AM-58.083333333333336
Jun 13, 2016 at 7:00 AM-69.16666666666667
Jun 14, 2016 at 7:00 AM-59.583333333333336
Jun 15, 2016 at 7:00 AM-51.0
Jun 16, 2016 at 7:00 AM-67.29166666666667
Jun 17, 2016 at 7:00 AM-66.33333333333333
Jun 18, 2016 at 7:00 AM-55.416666666666664
Jun 19, 2016 at 7:00 AM-48.0
Jun 20, 2016 at 7:00 AM-50.458333333333336
Jun 21, 2016 at 7:00 AM-59.791666666666664
Jun 22, 2016 at 7:00 AM-50.5
Jun 23, 2016 at 7:00 AM-50.166666666666664
Jun 24, 2016 at 7:00 AM-66.20833333333333
Jun 25, 2016 at 7:00 AM-49.458333333333336
Jun 26, 2016 at 7:00 AM-40.541666666666664
Jun 27, 2016 at 7:00 AM-42.458333333333336
Jun 28, 2016 at 7:00 AM-39.541666666666664
Jun 29, 2016 at 7:00 AM-38.916666666666664
